model,max_ratings,rmse,mae,n_predictions
UBCF,1,1.2604932848127028,0.9167224640107131,5974
UBCF,3,1.0494895633267238,0.8073872765186477,9751
UBCF,5,1.003064255542284,0.7765480895915678,11385
UBCF,10,0.9530832574178485,0.7359762802387685,12732
UBCF,20,0.9337155681496784,0.7248243597760813,13266
UBCF,full,0.843040059855726,0.6406887164723327,13406
IBCF,1,1.2604932848127028,0.9167224640107131,5974
IBCF,3,1.0570948752827662,0.8143146818896884,9751
IBCF,5,1.0388238407192445,0.8015554814007693,11385
IBCF,10,1.0704998703237703,0.8196564187440509,12732
IBCF,20,1.092360118185887,0.8408516795811009,13266
IBCF,full,0.876861162547843,0.6730647788574038,13406
