model,k,min_support,rmse,mae,precision_10,recall_10
UBCF,5,1,0.9144452388608139,0.7015091300571419,0.028622540250447227,0.021670366219923406
IBCF,5,1,0.8956236908180688,0.6807333927806148,0.05026833631484794,0.03719142731292276
UBCF,5,3,0.909527069930926,0.6984154492929233,0.029516994633273702,0.019786386480442605
IBCF,5,3,0.8939013588210316,0.6796492333636417,0.049194991055456175,0.0373522547797248
UBCF,5,5,0.8962432843420105,0.6887916572412577,0.031663685152057246,0.02638860476961698
IBCF,5,5,0.8946571555002223,0.6797885033843052,0.048479427549194994,0.03648951053562012
UBCF,5,10,0.886709492390181,0.6789233377365531,0.03971377459749553,0.0345425255290008
IBCF,5,10,0.9063595851645823,0.6863665070977109,0.038461538461538464,0.02488305496743499
UBCF,10,1,0.8701466845532254,0.6641515438615024,0.031842576028622546,0.023046809300765414
IBCF,10,1,0.8771298259013403,0.6702623398583794,0.05384615384615385,0.03879973887230331
UBCF,10,3,0.866858770681818,0.6615672910154878,0.03237924865831843,0.023605158004632167
IBCF,10,3,0.8759965138909079,0.6692051589579492,0.053488372093023255,0.037632119243928584
UBCF,10,5,0.8582679164568666,0.6561047082301972,0.03667262969588551,0.029684760497725567
IBCF,10,5,0.8773954965385006,0.6701216111358811,0.053488372093023255,0.039099870131119104
UBCF,10,10,0.8565057703224317,0.6525068100114115,0.04740608228980322,0.043758778708858775
IBCF,10,10,0.8869909322425528,0.6760643856264575,0.036135957066189626,0.022733627145081807
UBCF,20,1,0.8472760595405819,0.6450724516405523,0.04132379248658319,0.03022178944267908
IBCF,20,1,0.8735685481110244,0.6698523485807117,0.053488372093023255,0.03724250025294324
UBCF,20,3,0.8449949730194597,0.643091273866412,0.03881932021466906,0.02530352673442485
IBCF,20,3,0.8729003629901164,0.6692690846569623,0.052236135957066186,0.03632295725437596
UBCF,20,5,0.841096498999306,0.6404824843870904,0.04400715563506261,0.034466394429494965
IBCF,20,5,0.8753933044997424,0.670695865065345,0.04955277280858677,0.03314727438499648
UBCF,20,10,0.843040059855726,0.6406887164723327,0.04991055456171735,0.04530208547202669
IBCF,20,10,0.8841787532866663,0.676519815633742,0.03005366726296959,0.017461281565337012
UBCF,30,1,0.8419188158070616,0.6403669765156318,0.041681574239713776,0.029839672338690164
IBCF,30,1,0.876861162547843,0.6730647788574038,0.056171735241502686,0.03817830402348921
UBCF,30,3,0.8406885057781072,0.6393841827472261,0.04025044722719141,0.02962887756592219
IBCF,30,3,0.8763850654533768,0.6726381295716833,0.05438282647584974,0.03743767314318897
UBCF,30,5,0.8379882606525116,0.6374488974184384,0.042397137745974964,0.031009862835250562
IBCF,30,5,0.8780191278489204,0.6736993292952316,0.048479427549194994,0.03266858842813076
UBCF,30,10,0.8406276097900409,0.6382535140508114,0.04937388193202147,0.04166696790314079
IBCF,30,10,0.8862371155943453,0.6786764916777219,0.027191413237924865,0.01689193981249882
UBCF,40,1,0.84022334122771,0.6391703326067432,0.04114490161001789,0.029980702759734162
IBCF,40,1,0.8793274211893509,0.6752215026457482,0.05438282647584974,0.03853347201782351
UBCF,40,3,0.8394669861532545,0.6385024094442096,0.038461538461538464,0.02687071651573925
IBCF,40,3,0.8788128968973689,0.6745793298499467,0.05241502683363149,0.03728970374255548
UBCF,40,5,0.837080956931288,0.63671480379507,0.040608228980322,0.03017248812436632
IBCF,40,5,0.8803073065933914,0.6753631344894525,0.04597495527728086,0.031080574057820984
UBCF,40,10,0.8400463999426505,0.6379942974889221,0.049731663685152055,0.04363493502013034
IBCF,40,10,0.887729258044571,0.6804707931082842,0.025760286225402506,0.015879055635304288
